name,main_category,categories,reviews,rating,address,website,email,phone,facebook,instagram,linkedin,x,description,competitors,seo_keywords,workday_timing,closed_on,featured_image,google_link,place_id
SAMA ARCHITECTES,Architect,Architect,2,5.0,"Riad Al Andalousse, Rabat 10100, Morocco",http://www.samaarchitectes.com/,,+212 5375-66646,,,,,Architecte,"Name: SM Architecture
Link: https://www.google.com/maps/search/SM+Architecture/@34.013292899999996,-6.8309883?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: Saadaoui Khalid (Architecte)
Link: https://www.google.com/maps/search/Saadaoui+Khalid+(Architecte)/@33.9836477,-6.8269473?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: cabinet d'architecture Selma BENANI DAKHAMA
Link: https://www.google.com/maps/search/cabinet+d'architecture+Selma+BENANI+DAKHAMA/@34.0204565,-6.8313925?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews

Name: Drissi Bakhkhat Saaida (Architecte)
Link: https://www.google.com/maps/search/Drissi+Bakhkhat+Saaida+(Architecte)/@34.0071037,-6.8492576?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Prism Architecture
Link: https://www.google.com/maps/search/Prism+Architecture/@33.9559772,-6.8701023?authuser=0&hl=en&entry=ttu
Reviews: No Reviews reviews",,,Open All Days,https://lh3.ggpht.com/p/AF1QipMdClzY2eA66Rbo4fKumhnjNXgLMWT2NRGkJuQy=s1024,"https://www.google.com/maps/place/SAMA+ARCHITECTES/@33.9510332,-6.884598,17z/data=!3m1!4b1!4m6!3m5!1s0xda7131bb1ebd16f:0x79e97e57f6617cdd!8m2!3d33.9510332!4d-6.884598!16s%2Fg%2F11qnky0ftk?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI1MDMzMS4wIKXMDSoASAFQAw%3D%3D",ChIJb9HrsRsTpw0R3Xxh9ld-6Xk
LLoret Fuster Arquitectos Xativa,Architecture firm,"Architecture firm, Architect",16,4.9,"Placa de la Bassa, 15, 46800 Xativa, Valencia",http://www.lloretfusterarquitectos.com/,tecnico.ana@gmail.com,647 49 39 49,,https://www.instagram.com/lloretfusterarquitectos,,https://twitter.com/lloretfuster,"Lloret Fuster Arquitectos es un despacho integral de Arquitectura , urbanismo e ingenieria en Xativa (Valencia).
Creamos arquitectura con pasion para cumplir los suenos de nuestros clientes. En Lloret Fuster Arquitectos buscamos siempre la excelencia en todos nuestros proyectos. Nuestra arquitectura es cercana, exclusiva e innovadora.","Name: CHAFER arquitectura
Link: https://www.google.com/maps/search/CHAFER+arquitectura/@38.9895478,-0.5233956?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: Dezero estudi
Link: https://www.google.com/maps/search/Dezero+estudi/@38.9916603,-0.5240665999999999?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: ARQUITECTO TECNICO_Raul Lopez Llorens
Link: https://www.google.com/maps/search/ARQUITECTO+T%C3%89CNICO_Ra%C3%BAl+L%C3%B3pez+Llorens/@38.987368,-0.5280699999999999?authuser=0&hl=en&entry=ttu
Reviews: 2 reviews

Name: belda arquitecto
Link: https://www.google.com/maps/search/belda+arquitecto/@38.990650099999996,-0.5246843999999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Augusto Ballester Arquitecto S.l.
Link: https://www.google.com/maps/search/Augusto+Ballester+Arquitecto+S.l./@38.98858,-0.52212?authuser=0&hl=en&entry=ttu
Reviews: No Reviews reviews",,"9 am-2 pm, 4-7 pm","Saturday, Sunday",https://lh3.ggpht.com/p/AF1QipN8Gtj0_ZctfFWBh-gHY-iwyZZvpZ38OCkD4x4=s1024,https://www.google.com/maps/place/LLoret+Fuster+Arquitectos+X%C3%A0tiva/data=!4m7!3m6!1s0xd61a33a08fbdfb7:0x86f06b7c2a07524d!8m2!3d38.9884359!4d-0.5244347!16s%2Fg%2F11ls66xg8p!19sChIJt9_7CDqjYQ0RTVIHKnxr8IY?authuser=0&hl=en&rclk=1,ChIJt9_7CDqjYQ0RTVIHKnxr8IY
Dezero estudi,Architect,"Architect, Architecture firm, Interior architect office",4,5.0,"Baixada de l'estacio, 31, 46800 Xativa, Valencia",,,647 78 75 08,,,,,"Dezero es un estudio interdisciplinar de arquitectura, diseno, interiorismo y construccion.
Realizamos cualquier tipo de proyecto; residenciales, comerciales o de cualquier otro ambito, tanto en obra nueva como en rehabilitacion. Abordamos tambien el interiorismo estrategico para marcas comerciales, el diseno de producto o la direccion de arte.","Name: LLoret Fuster Arquitectos Xativa
Link: https://www.google.com/maps/search/LLoret+Fuster+Arquitectos+X%C3%A0tiva/@38.9884359,-0.5244347?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews

Name: Albero y Monzon arquitectas
Link: https://www.google.com/maps/search/Albero+y+Monz%C3%B3n+arquitectas/@38.9912035,-0.5225139999999999?authuser=0&hl=en&entry=ttu
Reviews: 13 reviews

Name: CHAFER arquitectura
Link: https://www.google.com/maps/search/CHAFER+arquitectura/@38.9895478,-0.5233956?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: belda arquitecto
Link: https://www.google.com/maps/search/belda+arquitecto/@38.990650099999996,-0.5246843999999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: dc I arq Interiorismo
Link: https://www.google.com/maps/search/dc+I+arq+Interiorismo/@38.988547,-0.5217811?authuser=0&hl=en&entry=ttu
Reviews: No Reviews reviews",team,"9:15 am-2 pm, 3:30-7 pm","Saturday, Sunday",https://lh3.ggpht.com/p/AF1QipNudnPPk2qW_jlfS1TpPhEYFREnC_z_7Zr9YnTT=s1024,https://www.google.com/maps/place/Dezero+estudi/data=!4m7!3m6!1s0xd61a3c552559f6d:0x59e323e7c8ce9e9b!8m2!3d38.9916603!4d-0.5240666!16s%2Fg%2F11t5wvt93h!19sChIJbZ9VUsWjYQ0Rm57OyOcj41k?authuser=0&hl=en&rclk=1,ChIJbZ9VUsWjYQ0Rm57OyOcj41k
Albero y Monzon arquitectas,Architecture firm,Architecture firm,13,5.0,"Carrer Pere IV, 1, 46800 Xativa, Valencia",http://www.alberoymonzon.com/,20arquitectas@alberoymonzon.com,962 28 02 58,,https://www.instagram.com/alberoymonzonarquitectas/,,,"     .

?Necesitas un equipo que te acompane en todo el proceso de tu proyecto, reduciendo al minimo cualquier incertidumbre y que ademas se preocupe por tu inversion y garantice la rentabilidad de tu proyecto?
?Crees que debemos ser mas sostenibles  en nuestra forma de habitar y quieres ser un referente invirtiendo en sistemas constructivos e instalaciones que garanticen la reduccion de la huella de carbono, y que ademas beneficie a tu bolsillo ?
?Piensas que lo mas importante de tu vivienda es que sea un hogar confortable y que ademas mejore tu calidad de vida y tu salud?

 Si quieres estar bien acompanad@ en un proceso tan importante: !ponte en contacto con nosotras!","Name: LLoret Fuster Arquitectos Xativa
Link: https://www.google.com/maps/search/LLoret+Fuster+Arquitectos+X%C3%A0tiva/@38.9884359,-0.5244347?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews

Name: CHAFER arquitectura
Link: https://www.google.com/maps/search/CHAFER+arquitectura/@38.9895478,-0.5233956?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: Dezero estudi
Link: https://www.google.com/maps/search/Dezero+estudi/@38.9916603,-0.5240665999999999?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: belda arquitecto
Link: https://www.google.com/maps/search/belda+arquitecto/@38.990650099999996,-0.5246843999999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",residential building,"9 am-1 pm, 3-6:30 pm","Saturday, Sunday",https://lh3.ggpht.com/p/AF1QipMf4wvRfzIS8pPzAbnRCTZOy-1gSOyGNHANlggy=s1024,https://www.google.com/maps/place/Albero+y+Monz%C3%B3n+arquitectas/data=!4m7!3m6!1s0xd61a3d73d970e6d:0xb7f67dc33e634421!8m2!3d38.9912035!4d-0.522514!16s%2Fg%2F11nwwrz7t1!19sChIJbQ6XPdejYQ0RIURjPsN99rc?authuser=0&hl=en&rclk=1,ChIJbQ6XPdejYQ0RIURjPsN99rc
ADENAGIP,Architecture firm,"Architecture firm, Interior designer",5,4.8,"Carrer Pere IV, 2, 46800 Xativa, Valencia",,,677 06 65 92,,,,,,"Name: J.Juan Espais
Link: https://www.google.com/maps/search/J.Juan+Espais/@38.988152,-0.52894?authuser=0&hl=en&entry=ttu
Reviews: 3 reviews

Name: GRUPHAC ARQUITECTURA E INGENIERIA SCP
Link: https://www.google.com/maps/search/GRUPHAC+ARQUITECTURA+E+INGENIERIA+SCP/@38.991018,-0.525745?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: dc I arq Interiorismo
Link: https://www.google.com/maps/search/dc+I+arq+Interiorismo/@38.988547,-0.5217811?authuser=0&hl=en&entry=ttu
Reviews: No Reviews reviews

Name: Estudio Joaquin Vila Arquitectura
Link: https://www.google.com/maps/search/Estudio+Joaquin+Vila+Arquitectura/@38.991101300000004,-0.5224554?authuser=0&hl=en&entry=ttu
Reviews: No Reviews reviews

Name: A Amiante
Link: https://www.google.com/maps/search/A+Amiante/@38.9910779,-0.5134822?authuser=0&hl=en&entry=ttu
Reviews: No Reviews reviews",,9 am-6:30 pm,"Saturday, Sunday",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MyI7SKh9dBjm9QsY-E_0SA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=101.91747&pitch=0&thumbfov=100,https://www.google.com/maps/place/ADENAGIP/data=!4m7!3m6!1s0xd61a20167d00a85:0x66fa64751913904d!8m2!3d38.9910929!4d-0.5225392!16s%2Fg%2F11clvsw9hn!19sChIJhQrQZwGiYQ0RTZATGXVk-mY?authuser=0&hl=en&rclk=1,ChIJhQrQZwGiYQ0RTZATGXVk-mY
belda arquitecto,Architect,Architect,1,5.0,"Carrer Vicent Boix, 11, 2-4, 46800 Xativa, Valencia",http://www.beldaarquitecto.com/,,665 43 92 05,,,,,"Proyectamos en base a una idea clara y concreta donde el usuario es el protagonista. Creamos espacios personalizados, disenados a medida y con un interes creativo. Demostramos que en cada lugar existe una OPORTUNIDAD siendo el detalle la clave del sistema del trabajo.","Name: LLoret Fuster Arquitectos Xativa
Link: https://www.google.com/maps/search/LLoret+Fuster+Arquitectos+X%C3%A0tiva/@38.9884359,-0.5244347?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews

Name: Ezequiel Chiarena - Arquitecto
Link: https://www.google.com/maps/search/Ezequiel+Chiarena+-+Arquitecto/@38.989605399999995,-0.5219851999999999?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: Dezero estudi
Link: https://www.google.com/maps/search/Dezero+estudi/@38.9916603,-0.5240665999999999?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: Pedro Vicent ARQUITECTO
Link: https://www.google.com/maps/search/Pedro+Vicent+ARQUITECTO/@38.9899001,-0.5203348?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Construcciones Antonio Belda, S.L.
Link: https://www.google.com/maps/search/Construcciones+Antonio+Belda%2C+S.L./@38.9882312,-0.5175628999999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",,9:30 am-8:30 pm,"Saturday, Sunday",https://lh3.ggpht.com/p/AF1QipOI4fUiXuLmZSl6aafAogYJ-hXS6wO5e3p2TexC=s1024,https://www.google.com/maps/place/belda+arquitecto/data=!4m7!3m6!1s0xd61a1fdd4b76a5f:0x2a38834b623f610f!8m2!3d38.9906501!4d-0.5246844!16s%2Fg%2F1t_wqprr!19sChIJX2q31P2hYQ0RD2E_YkuDOCo?authuser=0&hl=en&rclk=1,ChIJX2q31P2hYQ0RD2E_YkuDOCo
Pedro Vicent ARQUITECTO,Architect,Architect,1,5.0,"Albereda Jaume I, 60, 46800 Xativa, Valencia",,,652 98 00 38,,,,,,"Name: belda arquitecto
Link: https://www.google.com/maps/search/belda+arquitecto/@38.990650099999996,-0.5246843999999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: VICENTE BERNABEU COLOMER- ARQUITECTO
Link: https://www.google.com/maps/search/VICENTE+BERNABEU+COLOMER-+ARQUITECTO/@38.9860936,-0.5315126?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: GRUPHAC ARQUITECTURA E INGENIERIA SCP
Link: https://www.google.com/maps/search/GRUPHAC+ARQUITECTURA+E+INGENIERIA+SCP/@38.991018,-0.525745?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Vicente Tudela Iglesias
Link: https://www.google.com/maps/search/Vicente+Tudela+Iglesias/@38.990677999999996,-0.5237668?authuser=0&hl=en&entry=ttu
Reviews: No Reviews reviews

Name: Luis Terol Miralles Arquitecto
Link: https://www.google.com/maps/search/Luis+Terol+Miralles+Arquitecto/@38.9862889,-0.5283713999999999?authuser=0&hl=en&entry=ttu
Reviews: No Reviews reviews",,10 am-7 pm,"Tuesday, Thursday, Saturday, Sunday",https://lh3.ggpht.com/p/AF1QipNMG00vf7woks-uRUoB5nzshFprxeMBDrN7N8Jn=s1024,https://www.google.com/maps/place/Pedro+Vicent+ARQUITECTO/data=!4m7!3m6!1s0xd61a206c598b085:0x82b87cae62f26992!8m2!3d38.9899001!4d-0.5203348!16s%2Fg%2F11b75qw9y7!19sChIJhbCYxQaiYQ0RkmnyYq58uII?authuser=0&hl=en&rclk=1,ChIJhbCYxQaiYQ0RkmnyYq58uII
Ezequiel Chiarena - Arquitecto,Architect,Architect,8,5.0,"Porta de Sant Francesc, 10, Entlo 1o, Local 5, 46800 Xativa, Valencia",https://ezequielchiarena.com/,ezequielchiarena@gmail.com,666 87 02 22,https://www.facebook.com/ezequielchiarena,https://www.instagram.com/ezequielchiarena/,https://www.linkedin.com/in/ezequiel-chiarena-167825116/,,"Como arquitecto, ofrezco servicios especializados en la realizacion de proyectos de obra nueva, reformas, rehabilitacion y ampliacion de edificaciones. Mi enfoque se basa en la creacion de espacios funcionales y esteticamente atractivos, adaptados a las necesidades y requerimientos de cada cliente.

Mi objetivo es trabajar estrechamente con mis clientes para entender sus objetivos y visiones, y asi poder disenar proyectos que reflejen su personalidad y estilo. Desde la concepcion del proyecto hasta su finalizacion, estare presente en cada fase del proceso para asegurar que el resultado final cumpla con los mas altos estandares de calidad.","Name: LLoret Fuster Arquitectos Xativa
Link: https://www.google.com/maps/search/LLoret+Fuster+Arquitectos+X%C3%A0tiva/@38.9884359,-0.5244347?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews

Name: CHAFER arquitectura
Link: https://www.google.com/maps/search/CHAFER+arquitectura/@38.9895478,-0.5233956?authuser=0&hl=en&entry=ttu
Reviews: 6 reviews

Name: Jose Miguel Benito Suay
Link: https://www.google.com/maps/search/Jos%C3%A9+Miguel+Benito+Suay/@38.9914835,-0.5183516?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: belda arquitecto
Link: https://www.google.com/maps/search/belda+arquitecto/@38.990650099999996,-0.5246843999999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: GRUPHAC ARQUITECTURA E INGENIERIA SCP
Link: https://www.google.com/maps/search/GRUPHAC+ARQUITECTURA+E+INGENIERIA+SCP/@38.991018,-0.525745?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",,"9:30 am-2 pm, 4-6:30 pm","Saturday, Sunday",https://lh3.ggpht.com/p/AF1QipO-DRXsw-j-3ySGOe8qL1yadw4WYL1DwDmGwYcN=s1024,https://www.google.com/maps/place/Ezequiel+Chiarena+-+Arquitecto/data=!4m7!3m6!1s0x4ba3de3a782195ef:0x295dfd8ac8e5bf0e!8m2!3d38.9896054!4d-0.5219852!16s%2Fg%2F11ss58mnzn!19sChIJ75UheDreo0sRDr_lyIr9XSk?authuser=0&hl=en&rclk=1,ChIJ75UheDreo0sRDr_lyIr9XSk
VICENTE BERNABEU COLOMER- ARQUITECTO,Architecture firm,Architecture firm,1,4.0,"Carrer de l'Argenteria, 70, 46800 Xativa, Valencia",,,962 28 34 24,,,,,,"Name: Pedro Vicent ARQUITECTO
Link: https://www.google.com/maps/search/Pedro+Vicent+ARQUITECTO/@38.9899001,-0.5203348?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: belda arquitecto
Link: https://www.google.com/maps/search/belda+arquitecto/@38.990650099999996,-0.5246843999999999?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews

Name: Luis Terol Miralles Arquitecto
Link: https://www.google.com/maps/search/Luis+Terol+Miralles+Arquitecto/@38.9862889,-0.5283713999999999?authuser=0&hl=en&entry=ttu
Reviews: No Reviews reviews

Name: Vicente Tudela Iglesias
Link: https://www.google.com/maps/search/Vicente+Tudela+Iglesias/@38.990677999999996,-0.5237668?authuser=0&hl=en&entry=ttu
Reviews: No Reviews reviews

Name: Augusto Ballester Arquitecto S.l.
Link: https://www.google.com/maps/search/Augusto+Ballester+Arquitecto+S.l./@38.98858,-0.52212?authuser=0&hl=en&entry=ttu
Reviews: No Reviews reviews",,"9:30 am-2 pm, 4:30-7:30 pm","Saturday, Sunday",https://lh3.ggpht.com/p/AF1QipMjoVtpF5JmkJDcHwZk-Kw_2sdDoSxBAeN7yqoo=s1024,https://www.google.com/maps/place/VICENTE+BERNABEU+COLOMER-+ARQUITECTO/data=!4m7!3m6!1s0xd619f561912686f:0x303ac1298785b2ab!8m2!3d38.9860936!4d-0.5315126!16s%2Fg%2F11b6htbvz6!19sChIJb2gSGVafYQ0Rq7KFhynBOjA?authuser=0&hl=en&rclk=1,ChIJb2gSGVafYQ0Rq7KFhynBOjA
CHAFER arquitectura,Architect,Architect,6,5.0,"Alameda Jaume I, 10, 1o, 46800 Xativa, Valencia",http://www.chaferarquitectura.es/,info@chaferarquitectura.es,636 51 92 15,https://www.facebook.com/chaferarquitectura/,https://www.instagram.com/chaferarquitectura_estudio/,https://za.linkedin.com/company/chaferarquitectura?trk=similar-pages_result-card_full-click,https://twitter.com/chaferarq,"Estudio de arquitectura, interiorismo, rehabilitacion y diseno.
Tu sueno, tu idea, tu necesidad, una realidad a tu alcance, ofreciendo un servicio y trato personalizado para el diseno, construccion o rehabilitacion de viviendas, locales o edificios enteros. Gestion de expedientes. Coordinacion de proyectos y obras.","Name: LLoret Fuster Arquitectos Xativa
Link: https://www.google.com/maps/search/LLoret+Fuster+Arquitectos+X%C3%A0tiva/@38.9884359,-0.5244347?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews

Name: Albero y Monzon arquitectas
Link: https://www.google.com/maps/search/Albero+y+Monz%C3%B3n+arquitectas/@38.9912035,-0.5225139999999999?authuser=0&hl=en&entry=ttu
Reviews: 13 reviews

Name: Ezequiel Chiarena - Arquitecto
Link: https://www.google.com/maps/search/Ezequiel+Chiarena+-+Arquitecto/@38.989605399999995,-0.5219851999999999?authuser=0&hl=en&entry=ttu
Reviews: 8 reviews

Name: Dezero estudi
Link: https://www.google.com/maps/search/Dezero+estudi/@38.9916603,-0.5240665999999999?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews

Name: GRUPHAC ARQUITECTURA E INGENIERIA SCP
Link: https://www.google.com/maps/search/GRUPHAC+ARQUITECTURA+E+INGENIERIA+SCP/@38.991018,-0.525745?authuser=0&hl=en&entry=ttu
Reviews: 1 reviews",,"9 am-2 pm, 5-7 pm","Saturday, Sunday",https://lh3.ggpht.com/p/AF1QipMku5IIguGmL8n2lLJEOoKiKQC5aeVUI00qNHnv=s1024,https://www.google.com/maps/place/CHAFER+arquitectura/data=!4m7!3m6!1s0xd61a2005a65c457:0x72e69da36a5b5c48!8m2!3d38.9895478!4d-0.5233956!16s%2Fg%2F11f2b00tk7!19sChIJV8RlWgCiYQ0RSFxbaqOd5nI?authuser=0&hl=en&rclk=1,ChIJV8RlWgCiYQ0RSFxbaqOd5nI
